"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"JNE",4,631,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2e6512c8e3e9ef23:0x4a47aa2eb9c5e783!8m2!3d-7.7039938!4d109.0270443!16s%2Fg%2F11bz__6kml!19sChIJI-_p48gSZS4Rg-fFuS6qR0o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-7.7039938,109.0270443,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6512c8e3e9ef23:0x4a47aa2eb9c5e783!8m2!3d-7.7039938!4d109.0270443!16s%2Fg%2F11bz__6kml?authuser=0&hl=id&entry=ttu","109.0270443","-7.7039938","Alamat","Jl. Kalimantan No.11, Karang Lor, Gunungsimping, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53211"
"JNE",4,631,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2e6512c8e3e9ef23:0x4a47aa2eb9c5e783!8m2!3d-7.7039938!4d109.0270443!16s%2Fg%2F11bz__6kml!19sChIJI-_p48gSZS4Rg-fFuS6qR0o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-7.7039938,109.0270443,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6512c8e3e9ef23:0x4a47aa2eb9c5e783!8m2!3d-7.7039938!4d109.0270443!16s%2Fg%2F11bz__6kml?authuser=0&hl=id&entry=ttu","109.0270443","-7.7039938","Situs Web","jne.co.id"
"JNE",4,631,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2e6512c8e3e9ef23:0x4a47aa2eb9c5e783!8m2!3d-7.7039938!4d109.0270443!16s%2Fg%2F11bz__6kml!19sChIJI-_p48gSZS4Rg-fFuS6qR0o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-7.7039938,109.0270443,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6512c8e3e9ef23:0x4a47aa2eb9c5e783!8m2!3d-7.7039938!4d109.0270443!16s%2Fg%2F11bz__6kml?authuser=0&hl=id&entry=ttu","109.0270443","-7.7039938","Telepon","(0282) 546700"
"JNE",4,631,"Buka ⋅ Tutup pukul 00.00","https://www.google.com/maps/place/JNE/data=!4m7!3m6!1s0x2e6512c8e3e9ef23:0x4a47aa2eb9c5e783!8m2!3d-7.7039938!4d109.0270443!16s%2Fg%2F11bz__6kml!19sChIJI-_p48gSZS4Rg-fFuS6qR0o?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE/@-7.7039938,109.0270443,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6512c8e3e9ef23:0x4a47aa2eb9c5e783!8m2!3d-7.7039938!4d109.0270443!16s%2Fg%2F11bz__6kml?authuser=0&hl=id&entry=ttu","109.0270443","-7.7039938","Plus Codes","72WG+CR Gunungsimping, Kabupaten Cilacap, Jawa Tengah"
"JNE Sentul Cilacap",3.2,105,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/JNE+Sentul+Cilacap/data=!4m7!3m6!1s0x2e6512c7fbb9a71b:0x6e5552038c47788c!8m2!3d-7.7080589!4d109.0193783!16s%2Fg%2F1ts6qggm!19sChIJG6e5-8cSZS4RjHhHjANSVW4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sentul+Cilacap/@-7.7080589,109.0193783,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6512c7fbb9a71b:0x6e5552038c47788c!8m2!3d-7.7080589!4d109.0193783!16s%2Fg%2F1ts6qggm?authuser=0&hl=id&entry=ttu","109.0193783","-7.7080589","Alamat","Jl. Gatot Subroto No.1A, Rejamulya, Gunungsimping, Kec. Cilacap Tengah, Kabupaten Cilacap, Jawa Tengah 53224"
"JNE Sentul Cilacap",3.2,105,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/JNE+Sentul+Cilacap/data=!4m7!3m6!1s0x2e6512c7fbb9a71b:0x6e5552038c47788c!8m2!3d-7.7080589!4d109.0193783!16s%2Fg%2F1ts6qggm!19sChIJG6e5-8cSZS4RjHhHjANSVW4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sentul+Cilacap/@-7.7080589,109.0193783,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6512c7fbb9a71b:0x6e5552038c47788c!8m2!3d-7.7080589!4d109.0193783!16s%2Fg%2F1ts6qggm?authuser=0&hl=id&entry=ttu","109.0193783","-7.7080589","Situs Web","jne.co.id"
"JNE Sentul Cilacap",3.2,105,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/JNE+Sentul+Cilacap/data=!4m7!3m6!1s0x2e6512c7fbb9a71b:0x6e5552038c47788c!8m2!3d-7.7080589!4d109.0193783!16s%2Fg%2F1ts6qggm!19sChIJG6e5-8cSZS4RjHhHjANSVW4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sentul+Cilacap/@-7.7080589,109.0193783,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6512c7fbb9a71b:0x6e5552038c47788c!8m2!3d-7.7080589!4d109.0193783!16s%2Fg%2F1ts6qggm?authuser=0&hl=id&entry=ttu","109.0193783","-7.7080589","Telepon","(021) 29278888"
"JNE Sentul Cilacap",3.2,105,"Buka ⋅ Tutup pukul 18.00","https://www.google.com/maps/place/JNE+Sentul+Cilacap/data=!4m7!3m6!1s0x2e6512c7fbb9a71b:0x6e5552038c47788c!8m2!3d-7.7080589!4d109.0193783!16s%2Fg%2F1ts6qggm!19sChIJG6e5-8cSZS4RjHhHjANSVW4?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Sentul+Cilacap/@-7.7080589,109.0193783,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6512c7fbb9a71b:0x6e5552038c47788c!8m2!3d-7.7080589!4d109.0193783!16s%2Fg%2F1ts6qggm?authuser=0&hl=id&entry=ttu","109.0193783","-7.7080589","Plus Codes","72R9+QQ Gunungsimping, Kabupaten Cilacap, Jawa Tengah"
"JNE Perintis Kemerdekaan Cilacap",3.5,26,"Tutup ⋅ Buka Sen pukul 06.00","https://www.google.com/maps/place/JNE+Perintis+Kemerdekaan+Cilacap/data=!4m7!3m6!1s0x2e656d2db0b50e7f:0xa2cfddb76d2ffdaf!8m2!3d-7.6908613!4d109.035961!16s%2Fg%2F1ygbb7rdw!19sChIJfw61sC1tZS4Rr_0vbbfdz6I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Perintis+Kemerdekaan+Cilacap/@-7.6908613,109.035961,17z/data=!3m1!4b1!4m6!3m5!1s0x2e656d2db0b50e7f:0xa2cfddb76d2ffdaf!8m2!3d-7.6908613!4d109.035961!16s%2Fg%2F1ygbb7rdw?authuser=0&hl=id&entry=ttu","109.035961","-7.6908613","Alamat","Jl. Perintis Kemerdekaan No.129, RT.004/RW.006, Amiranom, Kebonmanis, Kec. Cilacap Utara, Kabupaten Cilacap, Jawa Tengah 53235"
"JNE Perintis Kemerdekaan Cilacap",3.5,26,"Tutup ⋅ Buka Sen pukul 06.00","https://www.google.com/maps/place/JNE+Perintis+Kemerdekaan+Cilacap/data=!4m7!3m6!1s0x2e656d2db0b50e7f:0xa2cfddb76d2ffdaf!8m2!3d-7.6908613!4d109.035961!16s%2Fg%2F1ygbb7rdw!19sChIJfw61sC1tZS4Rr_0vbbfdz6I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Perintis+Kemerdekaan+Cilacap/@-7.6908613,109.035961,17z/data=!3m1!4b1!4m6!3m5!1s0x2e656d2db0b50e7f:0xa2cfddb76d2ffdaf!8m2!3d-7.6908613!4d109.035961!16s%2Fg%2F1ygbb7rdw?authuser=0&hl=id&entry=ttu","109.035961","-7.6908613","Situs Web","jne.co.id"
"JNE Perintis Kemerdekaan Cilacap",3.5,26,"Tutup ⋅ Buka Sen pukul 06.00","https://www.google.com/maps/place/JNE+Perintis+Kemerdekaan+Cilacap/data=!4m7!3m6!1s0x2e656d2db0b50e7f:0xa2cfddb76d2ffdaf!8m2!3d-7.6908613!4d109.035961!16s%2Fg%2F1ygbb7rdw!19sChIJfw61sC1tZS4Rr_0vbbfdz6I?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/JNE+Perintis+Kemerdekaan+Cilacap/@-7.6908613,109.035961,17z/data=!3m1!4b1!4m6!3m5!1s0x2e656d2db0b50e7f:0xa2cfddb76d2ffdaf!8m2!3d-7.6908613!4d109.035961!16s%2Fg%2F1ygbb7rdw?authuser=0&hl=id&entry=ttu","109.035961","-7.6908613","Telepon","(0282) 547196"
