"branch_name","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Tiki Jalan Panjang",4.3,213,"Buka 24 jam","https://www.google.com/maps/place/Tiki+Jalan+Panjang/data=!4m7!3m6!1s0x2e69f71e6e67becf:0x6c8c9adfbc899b50!8m2!3d-6.1943845!4d106.7685723!16s%2Fg%2F11c5hjxbjl!19sChIJz75nbh73aS4RUJuJvN-ajGw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Jalan+Panjang/@-6.1943845,106.7685723,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f71e6e67becf:0x6c8c9adfbc899b50!8m2!3d-6.1943845!4d106.7685723!16s%2Fg%2F11c5hjxbjl?authuser=0&hl=id&entry=ttu","106.7685723","-6.1943845","Alamat","Jl. Panjang No.8d, RT.5/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530"
"Tiki Jalan Panjang",4.3,213,"Buka 24 jam","https://www.google.com/maps/place/Tiki+Jalan+Panjang/data=!4m7!3m6!1s0x2e69f71e6e67becf:0x6c8c9adfbc899b50!8m2!3d-6.1943845!4d106.7685723!16s%2Fg%2F11c5hjxbjl!19sChIJz75nbh73aS4RUJuJvN-ajGw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Jalan+Panjang/@-6.1943845,106.7685723,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f71e6e67becf:0x6c8c9adfbc899b50!8m2!3d-6.1943845!4d106.7685723!16s%2Fg%2F11c5hjxbjl?authuser=0&hl=id&entry=ttu","106.7685723","-6.1943845","Situs Web","tiki.id"
"Tiki Jalan Panjang",4.3,213,"Buka 24 jam","https://www.google.com/maps/place/Tiki+Jalan+Panjang/data=!4m7!3m6!1s0x2e69f71e6e67becf:0x6c8c9adfbc899b50!8m2!3d-6.1943845!4d106.7685723!16s%2Fg%2F11c5hjxbjl!19sChIJz75nbh73aS4RUJuJvN-ajGw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Jalan+Panjang/@-6.1943845,106.7685723,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f71e6e67becf:0x6c8c9adfbc899b50!8m2!3d-6.1943845!4d106.7685723!16s%2Fg%2F11c5hjxbjl?authuser=0&hl=id&entry=ttu","106.7685723","-6.1943845","Telepon","(021) 53666332"
"Tiki Jalan Panjang",4.3,213,"Buka 24 jam","https://www.google.com/maps/place/Tiki+Jalan+Panjang/data=!4m7!3m6!1s0x2e69f71e6e67becf:0x6c8c9adfbc899b50!8m2!3d-6.1943845!4d106.7685723!16s%2Fg%2F11c5hjxbjl!19sChIJz75nbh73aS4RUJuJvN-ajGw?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Jalan+Panjang/@-6.1943845,106.7685723,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f71e6e67becf:0x6c8c9adfbc899b50!8m2!3d-6.1943845!4d106.7685723!16s%2Fg%2F11c5hjxbjl?authuser=0&hl=id&entry=ttu","106.7685723","-6.1943845","Plus Codes","RQ49+6C Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"TIKI 103 Kalideres (Titipan Kilat)",4.5,14,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/TIKI+103+Kalideres+%28Titipan+Kilat%29/data=!4m7!3m6!1s0x2e69f87675e70c23:0xc4293d1972b9fed4!8m2!3d-6.1409694!4d106.6939097!16s%2Fg%2F12vtb5mhb!19sChIJIwzndXb4aS4R1P65chk9KcQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+103+Kalideres+(Titipan+Kilat)/@-6.1409694,106.6939097,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f87675e70c23:0xc4293d1972b9fed4!8m2!3d-6.1409694!4d106.6939097!16s%2Fg%2F12vtb5mhb?authuser=0&hl=id&entry=ttu","106.6939097","-6.1409694","Alamat","Jl. Peta Barat No.192, RT.5/RW.2, Pegadungan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840"
"TIKI 103 Kalideres (Titipan Kilat)",4.5,14,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/TIKI+103+Kalideres+%28Titipan+Kilat%29/data=!4m7!3m6!1s0x2e69f87675e70c23:0xc4293d1972b9fed4!8m2!3d-6.1409694!4d106.6939097!16s%2Fg%2F12vtb5mhb!19sChIJIwzndXb4aS4R1P65chk9KcQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+103+Kalideres+(Titipan+Kilat)/@-6.1409694,106.6939097,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f87675e70c23:0xc4293d1972b9fed4!8m2!3d-6.1409694!4d106.6939097!16s%2Fg%2F12vtb5mhb?authuser=0&hl=id&entry=ttu","106.6939097","-6.1409694","Situs Web","business.site"
"TIKI 103 Kalideres (Titipan Kilat)",4.5,14,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/TIKI+103+Kalideres+%28Titipan+Kilat%29/data=!4m7!3m6!1s0x2e69f87675e70c23:0xc4293d1972b9fed4!8m2!3d-6.1409694!4d106.6939097!16s%2Fg%2F12vtb5mhb!19sChIJIwzndXb4aS4R1P65chk9KcQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+103+Kalideres+(Titipan+Kilat)/@-6.1409694,106.6939097,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f87675e70c23:0xc4293d1972b9fed4!8m2!3d-6.1409694!4d106.6939097!16s%2Fg%2F12vtb5mhb?authuser=0&hl=id&entry=ttu","106.6939097","-6.1409694","Telepon","(021) 5406225"
"TIKI 103 Kalideres (Titipan Kilat)",4.5,14,"Buka ⋅ Tutup pukul 19.00","https://www.google.com/maps/place/TIKI+103+Kalideres+%28Titipan+Kilat%29/data=!4m7!3m6!1s0x2e69f87675e70c23:0xc4293d1972b9fed4!8m2!3d-6.1409694!4d106.6939097!16s%2Fg%2F12vtb5mhb!19sChIJIwzndXb4aS4R1P65chk9KcQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+103+Kalideres+(Titipan+Kilat)/@-6.1409694,106.6939097,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f87675e70c23:0xc4293d1972b9fed4!8m2!3d-6.1409694!4d106.6939097!16s%2Fg%2F12vtb5mhb?authuser=0&hl=id&entry=ttu","106.6939097","-6.1409694","Plus Codes","VM5V+JH Pegadungan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"TIKI Kali Sekretaris A440",4.5,57,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TIKI+Kali+Sekretaris+A440/data=!4m7!3m6!1s0x2e69f651cb449eef:0x7742c4e648f5febd!8m2!3d-6.1680083!4d106.7794084!16s%2Fg%2F11hcnbqzmw!19sChIJ755Ey1H2aS4Rvf71SObEQnc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Kali+Sekretaris+A440/@-6.1680083,106.7794084,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f651cb449eef:0x7742c4e648f5febd!8m2!3d-6.1680083!4d106.7794084!16s%2Fg%2F11hcnbqzmw?authuser=0&hl=id&entry=ttu","106.7794084","-6.1680083","Alamat","Alamat : Samping Sekolah Kemurnian 2, Jl. Kali Sekretaris, RT.3/RW.1, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510"
"TIKI Kali Sekretaris A440",4.5,57,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TIKI+Kali+Sekretaris+A440/data=!4m7!3m6!1s0x2e69f651cb449eef:0x7742c4e648f5febd!8m2!3d-6.1680083!4d106.7794084!16s%2Fg%2F11hcnbqzmw!19sChIJ755Ey1H2aS4Rvf71SObEQnc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Kali+Sekretaris+A440/@-6.1680083,106.7794084,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f651cb449eef:0x7742c4e648f5febd!8m2!3d-6.1680083!4d106.7794084!16s%2Fg%2F11hcnbqzmw?authuser=0&hl=id&entry=ttu","106.7794084","-6.1680083","Situs Web","tiki.id"
"TIKI Kali Sekretaris A440",4.5,57,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TIKI+Kali+Sekretaris+A440/data=!4m7!3m6!1s0x2e69f651cb449eef:0x7742c4e648f5febd!8m2!3d-6.1680083!4d106.7794084!16s%2Fg%2F11hcnbqzmw!19sChIJ755Ey1H2aS4Rvf71SObEQnc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Kali+Sekretaris+A440/@-6.1680083,106.7794084,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f651cb449eef:0x7742c4e648f5febd!8m2!3d-6.1680083!4d106.7794084!16s%2Fg%2F11hcnbqzmw?authuser=0&hl=id&entry=ttu","106.7794084","-6.1680083","Telepon","0851-7249-0440"
"TIKI Kali Sekretaris A440",4.5,57,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/TIKI+Kali+Sekretaris+A440/data=!4m7!3m6!1s0x2e69f651cb449eef:0x7742c4e648f5febd!8m2!3d-6.1680083!4d106.7794084!16s%2Fg%2F11hcnbqzmw!19sChIJ755Ey1H2aS4Rvf71SObEQnc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/TIKI+Kali+Sekretaris+A440/@-6.1680083,106.7794084,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f651cb449eef:0x7742c4e648f5febd!8m2!3d-6.1680083!4d106.7794084!16s%2Fg%2F11hcnbqzmw?authuser=0&hl=id&entry=ttu","106.7794084","-6.1680083","Plus Codes","RQJH+QQ Duri Kepa, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"Citra Van Titipan Kilat. PT (Tiki) - Tanjung Duren Barat",3.5,2,"unknown","https://www.google.com/maps/place/Citra+Van+Titipan+Kilat.+PT+%28Tiki%29+-+Tanjung+Duren+Barat/data=!4m7!3m6!1s0x2e69f657c80add9d:0xc2ad4195ff95a901!8m2!3d-6.1769919!4d106.7801653!16s%2Fg%2F1v90f5_n!19sChIJnd0KyFf2aS4RAamV_5VBrcI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Citra+Van+Titipan+Kilat.+PT+(Tiki)+-+Tanjung+Duren+Barat/@-6.1769919,106.7801653,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f657c80add9d:0xc2ad4195ff95a901!8m2!3d-6.1769919!4d106.7801653!16s%2Fg%2F1v90f5_n?authuser=0&hl=id&entry=ttu","106.7801653","-6.1769919","Alamat","Jl. Tj. Duren Barat No.12 A, RT.14/RW.5, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470"
"Citra Van Titipan Kilat. PT (Tiki) - Tanjung Duren Barat",3.5,2,"unknown","https://www.google.com/maps/place/Citra+Van+Titipan+Kilat.+PT+%28Tiki%29+-+Tanjung+Duren+Barat/data=!4m7!3m6!1s0x2e69f657c80add9d:0xc2ad4195ff95a901!8m2!3d-6.1769919!4d106.7801653!16s%2Fg%2F1v90f5_n!19sChIJnd0KyFf2aS4RAamV_5VBrcI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Citra+Van+Titipan+Kilat.+PT+(Tiki)+-+Tanjung+Duren+Barat/@-6.1769919,106.7801653,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f657c80add9d:0xc2ad4195ff95a901!8m2!3d-6.1769919!4d106.7801653!16s%2Fg%2F1v90f5_n?authuser=0&hl=id&entry=ttu","106.7801653","-6.1769919","Telepon","(021) 56969450"
"Citra Van Titipan Kilat. PT (Tiki) - Tanjung Duren Barat",3.5,2,"unknown","https://www.google.com/maps/place/Citra+Van+Titipan+Kilat.+PT+%28Tiki%29+-+Tanjung+Duren+Barat/data=!4m7!3m6!1s0x2e69f657c80add9d:0xc2ad4195ff95a901!8m2!3d-6.1769919!4d106.7801653!16s%2Fg%2F1v90f5_n!19sChIJnd0KyFf2aS4RAamV_5VBrcI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Citra+Van+Titipan+Kilat.+PT+(Tiki)+-+Tanjung+Duren+Barat/@-6.1769919,106.7801653,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f657c80add9d:0xc2ad4195ff95a901!8m2!3d-6.1769919!4d106.7801653!16s%2Fg%2F1v90f5_n?authuser=0&hl=id&entry=ttu","106.7801653","-6.1769919","Plus Codes","RQFJ+63 Tj. Duren Utara, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"Gerai TIKI Anggrek 573 Jakarta Barat",4.8,16,"Buka ⋅ Tutup pukul 21.30","https://www.google.com/maps/place/Gerai+TIKI+Anggrek+573+Jakarta+Barat/data=!4m7!3m6!1s0x2e69f712c7759d17:0xf265507571e8e16a!8m2!3d-6.202488!4d106.779568!16s%2Fg%2F11g_zf93d4!19sChIJF511xxL3aS4RauHocXVQZfI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+TIKI+Anggrek+573+Jakarta+Barat/@-6.202488,106.779568,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f712c7759d17:0xf265507571e8e16a!8m2!3d-6.202488!4d106.779568!16s%2Fg%2F11g_zf93d4?authuser=0&hl=id&entry=ttu","106.779568","-6.202488","Alamat","Jl. Anggrek Cakra No.28b, RT.4/RW.9, Sukabumi Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530"
"Gerai TIKI Anggrek 573 Jakarta Barat",4.8,16,"Buka ⋅ Tutup pukul 21.30","https://www.google.com/maps/place/Gerai+TIKI+Anggrek+573+Jakarta+Barat/data=!4m7!3m6!1s0x2e69f712c7759d17:0xf265507571e8e16a!8m2!3d-6.202488!4d106.779568!16s%2Fg%2F11g_zf93d4!19sChIJF511xxL3aS4RauHocXVQZfI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+TIKI+Anggrek+573+Jakarta+Barat/@-6.202488,106.779568,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f712c7759d17:0xf265507571e8e16a!8m2!3d-6.202488!4d106.779568!16s%2Fg%2F11g_zf93d4?authuser=0&hl=id&entry=ttu","106.779568","-6.202488","Situs Web","tiki.id"
"Gerai TIKI Anggrek 573 Jakarta Barat",4.8,16,"Buka ⋅ Tutup pukul 21.30","https://www.google.com/maps/place/Gerai+TIKI+Anggrek+573+Jakarta+Barat/data=!4m7!3m6!1s0x2e69f712c7759d17:0xf265507571e8e16a!8m2!3d-6.202488!4d106.779568!16s%2Fg%2F11g_zf93d4!19sChIJF511xxL3aS4RauHocXVQZfI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+TIKI+Anggrek+573+Jakarta+Barat/@-6.202488,106.779568,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f712c7759d17:0xf265507571e8e16a!8m2!3d-6.202488!4d106.779568!16s%2Fg%2F11g_zf93d4?authuser=0&hl=id&entry=ttu","106.779568","-6.202488","Telepon","0851-5934-5573"
"Gerai TIKI Anggrek 573 Jakarta Barat",4.8,16,"Buka ⋅ Tutup pukul 21.30","https://www.google.com/maps/place/Gerai+TIKI+Anggrek+573+Jakarta+Barat/data=!4m7!3m6!1s0x2e69f712c7759d17:0xf265507571e8e16a!8m2!3d-6.202488!4d106.779568!16s%2Fg%2F11g_zf93d4!19sChIJF511xxL3aS4RauHocXVQZfI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Gerai+TIKI+Anggrek+573+Jakarta+Barat/@-6.202488,106.779568,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f712c7759d17:0xf265507571e8e16a!8m2!3d-6.202488!4d106.779568!16s%2Fg%2F11g_zf93d4?authuser=0&hl=id&entry=ttu","106.779568","-6.202488","Plus Codes","QQXH+2R Sukabumi Utara, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"Tiki Kedoya",4.3,12,"Buka ⋅ Tutup pukul 20.00","https://www.google.com/maps/place/Tiki+Kedoya/data=!4m7!3m6!1s0x2e69f707c06bd457:0x98b805656671269a!8m2!3d-6.1667647!4d106.7637476!16s%2Fg%2F11b6dfl5kj!19sChIJV9RrwAf3aS4RmiZxZmUFuJg?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Tiki+Kedoya/@-6.1667647,106.7637476,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f707c06bd457:0x98b805656671269a!8m2!3d-6.1667647!4d106.7637476!16s%2Fg%2F11b6dfl5kj?authuser=0&hl=id&entry=ttu","106.7637476","-6.1667647","Alamat","JL. Arteri Kedoya 3 RT 002/07, RT.8/RW.2, Kedoya Sel., Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520"
