"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos Barus","Kantor Pos",4.3,12,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Barus/data=!4m7!3m6!1s0x302fb3d45aaaaa93:0x5400c876e8d9af5b!8m2!3d2.0104231!4d98.3987941!16s%2Fg%2F1q6b44qxy!19sChIJk6qqWtSzLzARW6_Z6HbIAFQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Barus/@2.0104231,98.3987941,17z/data=!3m1!4b1!4m6!3m5!1s0x302fb3d45aaaaa93:0x5400c876e8d9af5b!8m2!3d2.0104231!4d98.3987941!16s%2Fg%2F1q6b44qxy?authuser=0&hl=id&entry=ttu","98.3987941","2.0104231","Alamat","Jl. Jend. Sudirman No.21, Ps. Batu Gerigis, Kec. Barus, Kabupaten Tapanuli Tengah, Sumatera Utara 22564"
"Kantor Pos Barus","Kantor Pos",4.3,12,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Barus/data=!4m7!3m6!1s0x302fb3d45aaaaa93:0x5400c876e8d9af5b!8m2!3d2.0104231!4d98.3987941!16s%2Fg%2F1q6b44qxy!19sChIJk6qqWtSzLzARW6_Z6HbIAFQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Barus/@2.0104231,98.3987941,17z/data=!3m1!4b1!4m6!3m5!1s0x302fb3d45aaaaa93:0x5400c876e8d9af5b!8m2!3d2.0104231!4d98.3987941!16s%2Fg%2F1q6b44qxy?authuser=0&hl=id&entry=ttu","98.3987941","2.0104231","Situs Web","posindonesia.co.id"
"Kantor Pos Barus","Kantor Pos",4.3,12,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Barus/data=!4m7!3m6!1s0x302fb3d45aaaaa93:0x5400c876e8d9af5b!8m2!3d2.0104231!4d98.3987941!16s%2Fg%2F1q6b44qxy!19sChIJk6qqWtSzLzARW6_Z6HbIAFQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Barus/@2.0104231,98.3987941,17z/data=!3m1!4b1!4m6!3m5!1s0x302fb3d45aaaaa93:0x5400c876e8d9af5b!8m2!3d2.0104231!4d98.3987941!16s%2Fg%2F1q6b44qxy?authuser=0&hl=id&entry=ttu","98.3987941","2.0104231","Telepon","(0631) 510116"
"Kantor Pos Barus","Kantor Pos",4.3,12,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Barus/data=!4m7!3m6!1s0x302fb3d45aaaaa93:0x5400c876e8d9af5b!8m2!3d2.0104231!4d98.3987941!16s%2Fg%2F1q6b44qxy!19sChIJk6qqWtSzLzARW6_Z6HbIAFQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Barus/@2.0104231,98.3987941,17z/data=!3m1!4b1!4m6!3m5!1s0x302fb3d45aaaaa93:0x5400c876e8d9af5b!8m2!3d2.0104231!4d98.3987941!16s%2Fg%2F1q6b44qxy?authuser=0&hl=id&entry=ttu","98.3987941","2.0104231","Plus Codes","296X+5G Ps. Batu Gerigis, Kabupaten Tapanuli Tengah, Sumatera Utara"
"Kantor Pos Pinangsori","Kantor Pos",4.4,15,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Pinangsori/data=!4m7!3m6!1s0x302e950555555549:0x82718fb28946b469!8m2!3d1.5759504!4d98.9001479!16s%2Fg%2F11b5wlhfh3!19sChIJSVVVVQWVLjARabRGibKPcYI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pinangsori/@1.5759504,98.9001479,17z/data=!3m1!4b1!4m6!3m5!1s0x302e950555555549:0x82718fb28946b469!8m2!3d1.5759504!4d98.9001479!16s%2Fg%2F11b5wlhfh3?authuser=0&hl=id&entry=ttu","98.9001479","1.5759504","Alamat","Jalan Sibolga - Padang Sidimpuan, Sitonong Bangun, Pinangsori, Central Tapanuli Regency, North Sumatra 22654"
"Kantor Pos Pinangsori","Kantor Pos",4.4,15,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Pinangsori/data=!4m7!3m6!1s0x302e950555555549:0x82718fb28946b469!8m2!3d1.5759504!4d98.9001479!16s%2Fg%2F11b5wlhfh3!19sChIJSVVVVQWVLjARabRGibKPcYI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pinangsori/@1.5759504,98.9001479,17z/data=!3m1!4b1!4m6!3m5!1s0x302e950555555549:0x82718fb28946b469!8m2!3d1.5759504!4d98.9001479!16s%2Fg%2F11b5wlhfh3?authuser=0&hl=id&entry=ttu","98.9001479","1.5759504","Situs Web","posindonesia.co.id"
"Kantor Pos Pinangsori","Kantor Pos",4.4,15,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Pinangsori/data=!4m7!3m6!1s0x302e950555555549:0x82718fb28946b469!8m2!3d1.5759504!4d98.9001479!16s%2Fg%2F11b5wlhfh3!19sChIJSVVVVQWVLjARabRGibKPcYI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pinangsori/@1.5759504,98.9001479,17z/data=!3m1!4b1!4m6!3m5!1s0x302e950555555549:0x82718fb28946b469!8m2!3d1.5759504!4d98.9001479!16s%2Fg%2F11b5wlhfh3?authuser=0&hl=id&entry=ttu","98.9001479","1.5759504","Telepon","(0631) 391178"
"Kantor Pos Pinangsori","Kantor Pos",4.4,15,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Pinangsori/data=!4m7!3m6!1s0x302e950555555549:0x82718fb28946b469!8m2!3d1.5759504!4d98.9001479!16s%2Fg%2F11b5wlhfh3!19sChIJSVVVVQWVLjARabRGibKPcYI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Pinangsori/@1.5759504,98.9001479,17z/data=!3m1!4b1!4m6!3m5!1s0x302e950555555549:0x82718fb28946b469!8m2!3d1.5759504!4d98.9001479!16s%2Fg%2F11b5wlhfh3?authuser=0&hl=id&entry=ttu","98.9001479","1.5759504","Plus Codes","HWG2+93 Sitonong Bangun, Kabupaten Tapanuli Tengah, Sumatera Utara"
"Kantor Pos Sorkam","Kantor Pos",4.4,8,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Sorkam/data=!4m7!3m6!1s0x302e512cffffffe5:0x3d0216432f5665dc!8m2!3d1.9039077!4d98.6000004!16s%2Fg%2F1q6bb80n4!19sChIJ5f___yxRLjAR3GVWL0MWAj0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Sorkam/@1.9039077,98.6000004,17z/data=!3m1!4b1!4m6!3m5!1s0x302e512cffffffe5:0x3d0216432f5665dc!8m2!3d1.9039077!4d98.6000004!16s%2Fg%2F1q6bb80n4?authuser=0&hl=id&entry=ttu","98.6000004","1.9039077","Alamat","Jl. Sibolga - Barus No.Km 32, Sorkam, Kec. Sorkam, Kabupaten Tapanuli Tengah, Sumatera Utara 22563"
"Kantor Pos Sorkam","Kantor Pos",4.4,8,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Sorkam/data=!4m7!3m6!1s0x302e512cffffffe5:0x3d0216432f5665dc!8m2!3d1.9039077!4d98.6000004!16s%2Fg%2F1q6bb80n4!19sChIJ5f___yxRLjAR3GVWL0MWAj0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Sorkam/@1.9039077,98.6000004,17z/data=!3m1!4b1!4m6!3m5!1s0x302e512cffffffe5:0x3d0216432f5665dc!8m2!3d1.9039077!4d98.6000004!16s%2Fg%2F1q6bb80n4?authuser=0&hl=id&entry=ttu","98.6000004","1.9039077","Situs Web","posindonesia.co.id"
"Kantor Pos Sorkam","Kantor Pos",4.4,8,"Buka ⋅ Tutup pukul 16.00","https://www.google.com/maps/place/Kantor+Pos+Sorkam/data=!4m7!3m6!1s0x302e512cffffffe5:0x3d0216432f5665dc!8m2!3d1.9039077!4d98.6000004!16s%2Fg%2F1q6bb80n4!19sChIJ5f___yxRLjAR3GVWL0MWAj0?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Sorkam/@1.9039077,98.6000004,17z/data=!3m1!4b1!4m6!3m5!1s0x302e512cffffffe5:0x3d0216432f5665dc!8m2!3d1.9039077!4d98.6000004!16s%2Fg%2F1q6bb80n4?authuser=0&hl=id&entry=ttu","98.6000004","1.9039077","Plus Codes","WJ32+H2 Sorkam, Kabupaten Tapanuli Tengah, Sumatera Utara"
"PostAja! Drop Point","Kantor Pos",NA,NA,"Buka ⋅ Tutup pukul 21.00","https://www.google.com/maps/place/PostAja!+Drop+Point/data=!4m7!3m6!1s0x302ef572de2783e9:0xb2aa2be07b24290c!8m2!3d1.7648685!4d98.7641452!16s%2Fg%2F11s6pvm99k!19sChIJ6YMn3nL1LjARDCkke-ArqrI?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/PostAja!+Drop+Point/@1.7648685,98.7641452,17z/data=!3m1!4b1!4m6!3m5!1s0x302ef572de2783e9:0xb2aa2be07b24290c!8m2!3d1.7648685!4d98.7641452!16s%2Fg%2F11s6pvm99k?authuser=0&hl=id&entry=ttu","98.7641452","1.7648685","Alamat","QQ77+WMR, Jl. Sibolga - Barus, Mela II, Kec. Tapian Nauli, Kabupaten Tapanuli Tengah, Sumatera Utara"
