"branch_name","type","rating","num_review","status","search_url","coord_url","longitude","latitude","detail","value"
"Kantor Pos | Kuala Simpang","Kantor Pos",3.9,18,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+%7C+Kuala+Simpang/data=!4m7!3m6!1s0x3037740dc387b96d:0x797712cb9573583c!8m2!3d4.2838371!4d98.0581176!16s%2Fg%2F1pzx5cpgt!19sChIJbbmHww10NzARPFhzlcsSd3k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+%7C+Kuala+Simpang/@4.2838371,98.0581176,17z/data=!3m1!4b1!4m6!3m5!1s0x3037740dc387b96d:0x797712cb9573583c!8m2!3d4.2838371!4d98.0581176!16s%2Fg%2F1pzx5cpgt?authuser=0&hl=id&entry=ttu","98.0581176","4.2838371","Alamat","JL. S. Parman No.1, Kota Kuala Simpang, Kabupaten Aceh Tamiang, Aceh 24475"
"Kantor Pos | Kuala Simpang","Kantor Pos",3.9,18,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+%7C+Kuala+Simpang/data=!4m7!3m6!1s0x3037740dc387b96d:0x797712cb9573583c!8m2!3d4.2838371!4d98.0581176!16s%2Fg%2F1pzx5cpgt!19sChIJbbmHww10NzARPFhzlcsSd3k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+%7C+Kuala+Simpang/@4.2838371,98.0581176,17z/data=!3m1!4b1!4m6!3m5!1s0x3037740dc387b96d:0x797712cb9573583c!8m2!3d4.2838371!4d98.0581176!16s%2Fg%2F1pzx5cpgt?authuser=0&hl=id&entry=ttu","98.0581176","4.2838371","Telepon","(021) 1500161"
"Kantor Pos | Kuala Simpang","Kantor Pos",3.9,18,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+%7C+Kuala+Simpang/data=!4m7!3m6!1s0x3037740dc387b96d:0x797712cb9573583c!8m2!3d4.2838371!4d98.0581176!16s%2Fg%2F1pzx5cpgt!19sChIJbbmHww10NzARPFhzlcsSd3k?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+%7C+Kuala+Simpang/@4.2838371,98.0581176,17z/data=!3m1!4b1!4m6!3m5!1s0x3037740dc387b96d:0x797712cb9573583c!8m2!3d4.2838371!4d98.0581176!16s%2Fg%2F1pzx5cpgt?authuser=0&hl=id&entry=ttu","98.0581176","4.2838371","Plus Codes","73M5+G6 Kota Kuala Simpang, Kabupaten Aceh Tamiang, Aceh"
"Kantorpos Pulau Tiga","Kantor Pos",5,3,"unknown","https://www.google.com/maps/place/Kantorpos+Pulau+Tiga/data=!4m7!3m6!1s0x30377b166ebedef9:0xbf7979f62b54e776!8m2!3d4.215273!4d97.900328!16s%2Fg%2F11b5yx3r8w!19sChIJ-d6-bhZ7NzARdudUK_Z5eb8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Pulau+Tiga/@4.215273,97.900328,17z/data=!3m1!4b1!4m6!3m5!1s0x30377b166ebedef9:0xbf7979f62b54e776!8m2!3d4.215273!4d97.900328!16s%2Fg%2F11b5yx3r8w?authuser=0&hl=id&entry=ttu","97.900328","4.215273","Alamat","Jl. Alur Jambu No.2, Harum Sari, Kec. Tamiang Hulu, Kabupaten Aceh Tamiang, Aceh 24478"
"Kantorpos Pulau Tiga","Kantor Pos",5,3,"unknown","https://www.google.com/maps/place/Kantorpos+Pulau+Tiga/data=!4m7!3m6!1s0x30377b166ebedef9:0xbf7979f62b54e776!8m2!3d4.215273!4d97.900328!16s%2Fg%2F11b5yx3r8w!19sChIJ-d6-bhZ7NzARdudUK_Z5eb8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Pulau+Tiga/@4.215273,97.900328,17z/data=!3m1!4b1!4m6!3m5!1s0x30377b166ebedef9:0xbf7979f62b54e776!8m2!3d4.215273!4d97.900328!16s%2Fg%2F11b5yx3r8w?authuser=0&hl=id&entry=ttu","97.900328","4.215273","Situs Web","posindonesia.co.id"
"Kantorpos Pulau Tiga","Kantor Pos",5,3,"unknown","https://www.google.com/maps/place/Kantorpos+Pulau+Tiga/data=!4m7!3m6!1s0x30377b166ebedef9:0xbf7979f62b54e776!8m2!3d4.215273!4d97.900328!16s%2Fg%2F11b5yx3r8w!19sChIJ-d6-bhZ7NzARdudUK_Z5eb8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Pulau+Tiga/@4.215273,97.900328,17z/data=!3m1!4b1!4m6!3m5!1s0x30377b166ebedef9:0xbf7979f62b54e776!8m2!3d4.215273!4d97.900328!16s%2Fg%2F11b5yx3r8w?authuser=0&hl=id&entry=ttu","97.900328","4.215273","Telepon","(0641) 21024"
"Kantorpos Pulau Tiga","Kantor Pos",5,3,"unknown","https://www.google.com/maps/place/Kantorpos+Pulau+Tiga/data=!4m7!3m6!1s0x30377b166ebedef9:0xbf7979f62b54e776!8m2!3d4.215273!4d97.900328!16s%2Fg%2F11b5yx3r8w!19sChIJ-d6-bhZ7NzARdudUK_Z5eb8?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Pulau+Tiga/@4.215273,97.900328,17z/data=!3m1!4b1!4m6!3m5!1s0x30377b166ebedef9:0xbf7979f62b54e776!8m2!3d4.215273!4d97.900328!16s%2Fg%2F11b5yx3r8w?authuser=0&hl=id&entry=ttu","97.900328","4.215273","Plus Codes","6W82+44 Harum Sari, Kabupaten Aceh Tamiang, Aceh"
"KANTOR POS - KARANG BARU","Kantor Perusahaan",3.8,6,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/KANTOR+POS+-+KARANG+BARU/data=!4m7!3m6!1s0x30377420b85fc339:0x4515cd4a8b4ea22!8m2!3d4.2979467!4d98.0478777!16s%2Fg%2F11f11pg20j!19sChIJOcNfuCB0NzARIuq0qNRcUQQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+POS+-+KARANG+BARU/@4.2979467,98.0478777,17z/data=!3m1!4b1!4m6!3m5!1s0x30377420b85fc339:0x4515cd4a8b4ea22!8m2!3d4.2979467!4d98.0478777!16s%2Fg%2F11f11pg20j?authuser=0&hl=id&entry=ttu","98.0478777","4.2979467","Alamat","Jl. Medan - Banda Aceh, Gampong Bundar, Kec. Karang Baru, Kabupaten Aceh Tamiang, Aceh 24456"
"KANTOR POS - KARANG BARU","Kantor Perusahaan",3.8,6,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/KANTOR+POS+-+KARANG+BARU/data=!4m7!3m6!1s0x30377420b85fc339:0x4515cd4a8b4ea22!8m2!3d4.2979467!4d98.0478777!16s%2Fg%2F11f11pg20j!19sChIJOcNfuCB0NzARIuq0qNRcUQQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+POS+-+KARANG+BARU/@4.2979467,98.0478777,17z/data=!3m1!4b1!4m6!3m5!1s0x30377420b85fc339:0x4515cd4a8b4ea22!8m2!3d4.2979467!4d98.0478777!16s%2Fg%2F11f11pg20j?authuser=0&hl=id&entry=ttu","98.0478777","4.2979467","Situs Web","posindonesia.co.id"
"KANTOR POS - KARANG BARU","Kantor Perusahaan",3.8,6,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/KANTOR+POS+-+KARANG+BARU/data=!4m7!3m6!1s0x30377420b85fc339:0x4515cd4a8b4ea22!8m2!3d4.2979467!4d98.0478777!16s%2Fg%2F11f11pg20j!19sChIJOcNfuCB0NzARIuq0qNRcUQQ?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+POS+-+KARANG+BARU/@4.2979467,98.0478777,17z/data=!3m1!4b1!4m6!3m5!1s0x30377420b85fc339:0x4515cd4a8b4ea22!8m2!3d4.2979467!4d98.0478777!16s%2Fg%2F11f11pg20j?authuser=0&hl=id&entry=ttu","98.0478777","4.2979467","Plus Codes","72XX+55 Gampong Bundar, Kabupaten Aceh Tamiang, Aceh"
"Kantor Pos Bendahara","Kantor Pos",3.7,3,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Bendahara/data=!4m7!3m6!1s0x30379fcbc73c2935:0x7ce6a5239ff6dce!8m2!3d4.3709304!4d98.094376!16s%2Fg%2F11gbxbpr77!19sChIJNSk8x8ufNzARzm3_OVJqzgc?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Bendahara/@4.3709304,98.094376,17z/data=!3m1!4b1!4m6!3m5!1s0x30379fcbc73c2935:0x7ce6a5239ff6dce!8m2!3d4.3709304!4d98.094376!16s%2Fg%2F11gbxbpr77?authuser=0&hl=id&entry=ttu","98.094376","4.3709304","Alamat","93CV+9QC, Simpang Empat, Kec. Karang Baru, Kabupaten Aceh Tamiang, Aceh 24471"
"Kantorpos Rantau Kuala Simpang","Kantor Pos",4.8,6,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantorpos+Rantau+Kuala+Simpang/data=!4m7!3m6!1s0x3037750fb925f057:0xb3b49f403f38f612!8m2!3d4.3219593!4d98.0925646!16s%2Fg%2F11b5w81sqg!19sChIJV_AluQ91NzAREvY4P0CftLM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Rantau+Kuala+Simpang/@4.3219593,98.0925646,17z/data=!3m1!4b1!4m6!3m5!1s0x3037750fb925f057:0xb3b49f403f38f612!8m2!3d4.3219593!4d98.0925646!16s%2Fg%2F11b5w81sqg?authuser=0&hl=id&entry=ttu","98.0925646","4.3219593","Alamat","Alur Manis, Kec. Rantau, Kabupaten Aceh Tamiang, Aceh 24474"
"Kantorpos Rantau Kuala Simpang","Kantor Pos",4.8,6,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantorpos+Rantau+Kuala+Simpang/data=!4m7!3m6!1s0x3037750fb925f057:0xb3b49f403f38f612!8m2!3d4.3219593!4d98.0925646!16s%2Fg%2F11b5w81sqg!19sChIJV_AluQ91NzAREvY4P0CftLM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Rantau+Kuala+Simpang/@4.3219593,98.0925646,17z/data=!3m1!4b1!4m6!3m5!1s0x3037750fb925f057:0xb3b49f403f38f612!8m2!3d4.3219593!4d98.0925646!16s%2Fg%2F11b5w81sqg?authuser=0&hl=id&entry=ttu","98.0925646","4.3219593","Situs Web","posindonesia.co.id"
"Kantorpos Rantau Kuala Simpang","Kantor Pos",4.8,6,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantorpos+Rantau+Kuala+Simpang/data=!4m7!3m6!1s0x3037750fb925f057:0xb3b49f403f38f612!8m2!3d4.3219593!4d98.0925646!16s%2Fg%2F11b5w81sqg!19sChIJV_AluQ91NzAREvY4P0CftLM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Rantau+Kuala+Simpang/@4.3219593,98.0925646,17z/data=!3m1!4b1!4m6!3m5!1s0x3037750fb925f057:0xb3b49f403f38f612!8m2!3d4.3219593!4d98.0925646!16s%2Fg%2F11b5w81sqg?authuser=0&hl=id&entry=ttu","98.0925646","4.3219593","Telepon","(0641) 21024"
"Kantorpos Rantau Kuala Simpang","Kantor Pos",4.8,6,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantorpos+Rantau+Kuala+Simpang/data=!4m7!3m6!1s0x3037750fb925f057:0xb3b49f403f38f612!8m2!3d4.3219593!4d98.0925646!16s%2Fg%2F11b5w81sqg!19sChIJV_AluQ91NzAREvY4P0CftLM?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Rantau+Kuala+Simpang/@4.3219593,98.0925646,17z/data=!3m1!4b1!4m6!3m5!1s0x3037750fb925f057:0xb3b49f403f38f612!8m2!3d4.3219593!4d98.0925646!16s%2Fg%2F11b5w81sqg?authuser=0&hl=id&entry=ttu","98.0925646","4.3219593","Plus Codes","83CV+Q2 Alur Manis, Kabupaten Aceh Tamiang, Aceh"
"Kantor Pos Sungai Liput","Kantor Pos",5,4,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantor+Pos+Sungai+Liput/data=!4m7!3m6!1s0x303772320959c469:0x4a5dbbfba661e6ff!8m2!3d4.2281778!4d98.0577125!16s%2Fg%2F11gfjw61g5!19sChIJacRZCTJyNzAR_-Zhpvu7XUo?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantor+Pos+Sungai+Liput/@4.2281778,98.0577125,17z/data=!3m1!4b1!4m6!3m5!1s0x303772320959c469:0x4a5dbbfba661e6ff!8m2!3d4.2281778!4d98.0577125!16s%2Fg%2F11gfjw61g5?authuser=0&hl=id&entry=ttu","98.0577125","4.2281778","Alamat","63H5+73G, Pangkalan, Kec. Kejuruan Muda, Kabupaten Aceh Tamiang, Aceh 24475"
"KANTOR POS PULAU TIGA 24478","Kantor Pos",5,1,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/KANTOR+POS+PULAU+TIGA+24478/data=!4m7!3m6!1s0x3037659708b29ba9:0xf630ce9a34fb3afe!8m2!3d4.1660854!4d97.9468384!16s%2Fg%2F11l7gbj01q!19sChIJqZuyCJdlNzAR_jr7NJrOMPY?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/KANTOR+POS+PULAU+TIGA+24478/@4.1660854,97.9468384,17z/data=!3m1!4b1!4m6!3m5!1s0x3037659708b29ba9:0xf630ce9a34fb3afe!8m2!3d4.1660854!4d97.9468384!16s%2Fg%2F11l7gbj01q?authuser=0&hl=id&entry=ttu","97.9468384","4.1660854","Alamat","5W8W+CPP, Unnamed Road, Kaloy, Kec. Tamiang Hulu, Kabupaten Aceh Tamiang, Aceh 24478"
"Kantorpos Tualang Cut","Kantor Pos",2.8,4,"Tutup ⋅ Buka Rab pukul 08.00","https://www.google.com/maps/place/Kantorpos+Tualang+Cut/data=!4m7!3m6!1s0x30379eafd9266d41:0x11a3d49febbe498c!8m2!3d4.427369!4d98.057241!16s%2Fg%2F11b5wlq_6k!19sChIJQW0m2a-eNzARjEm-65_UoxE?authuser=0&hl=id&rclk=1","https://www.google.com/maps/place/Kantorpos+Tualang+Cut/@4.427369,98.057241,17z/data=!3m1!4b1!4m6!3m5!1s0x30379eafd9266d41:0x11a3d49febbe498c!8m2!3d4.427369!4d98.057241!16s%2Fg%2F11b5wlq_6k?authuser=0&hl=id&entry=ttu","98.057241","4.427369","Alamat","Tj. Neraca, Kec. Manyak Payed, Kabupaten Aceh Tamiang, Aceh 24471"
